Cluster,X,Y,Frequency,Group,N,sessions,tlv,count,a_bike,a_casual,a_dance,a_golf,a_hiking,a_on_the_move,a_onthemove,a_running,a_studio,a_swim,a_tennis,a_trail_running,a_training,a_travel,a_yoga,c_5_year_basic,c_abc,c_align,c_all_yours,c_allyours,c_always_in_motion,c_alwaysinmotion,c_at_ease,c_atease,c_base_pace,c_basepace,c_blissfeel,c_bowline,c_built_to_move,c_chargefeel,c_city_sweat,c_citysweat,c_cityverse,c_commission,c_cool_racerback,c_dance_studio,c_dancestudio,c_define,c_drysense,c_ebb_to_street,c_ebbtostreet,c_energy,c_engineered_warmth,c_enlite,c_everywhere,c_fast&free,c_fast_&_free,c_free_to_be,c_fundamental,c_groove,c_hold_tight,c_hotty_hot,c_hottyhot,c_instill,c_invigorate,c_license_to_train,c_licensetotrain,c_like_a_cloud,c_likeacloud,c_loungeful,c_love,c_lululemon_lab,c_metal_vent_tech,c_metalventtech,c_pace_breaker,c_perfectly_oversized,c_perfectlyoversized,c_power_pivot,c_power_thru,c_ready_to_rulu,c_restfeel,c_scuba,c_sculpt,c_soft_jersey,c_speed_up,c_speedup,c_steady_state,c_strongfeel,c_surge,c_swift_speed,c_swiftly,c_swiftspeed,c_t.h.e.,c_wunder_puff,c_wunder_train,c_wunder_under,c_wundermost,c_wundertrain,c_wunderunder,c_zeroed_in,cat_accessories,cat_all_bras,cat_allbras,cat_bags,cat_bestsellers,cat_bodysuits,cat_bouteilles_d^eau,cat_button_down_shirts,cat_camisoles,cat_can,cat_capris,cat_chaussettes,cat_coats&jackets,cat_coats_&_jackets,cat_commerceroot,cat_dresses,cat_early_access,cat_equipment,cat_femmes,cat_gift_ideas,cat_giftideas,cat_gloves_&_mittens,cat_hair_accessories,cat_hats,cat_hauts,cat_hauts_à_capuchon_et_chandails,cat_hommes,cat_hoodies&sweatshirts,cat_hoodies_&_sweatshirts,cat_joggers,cat_jumpsuits_&_rompers,cat_jupes,cat_lab_shop,cat_leggings,cat_long_sleeve_shirts,cat_loungewear,cat_manches_courtes,cat_manteaux,cat_manteaux_+_vestes,cat_matching_sets,cat_nos_succès,cat_nouveautés,cat_pantalons,cat_pantalons_d^entraînement,cat_pantalons_de_jogging,cat_pants,cat_polo_shirts,cat_sacs,cat_scarves_&_wraps,cat_shirts,cat_shoes,cat_shop_outfits,cat_short_sleeve_shirts,cat_shorts,cat_shortsleeveshirts,cat_skirts,cat_socks,cat_sous-vêtements,cat_soutiens-gorge_sport,cat_special_edition,cat_sports_bras,cat_sweaters,cat_sweatpants,cat_swim_trunks,cat_swimsuits,cat_t-shirts,cat_tank_tops,cat_tanktops,cat_team_canada_,cat_tights,cat_tricots,cat_trousers,cat_underwear,cat_usa,cat_vêtements_de_détente,cat_water_bottles,cat_we_made_too_much,cat_wemadetoomuch,cat_what^s_new,cat_what^snew,cat_women^s_0-14,cat_yoga_mats,cat_yogaaccessories,clr_black,clr_black_&_white,clr_black_&_white_,clr_blanc,clr_blue,clr_brown,clr_burgundy,clr_camo,clr_gold,clr_green,clr_grey,clr_khaki,clr_metallic,clr_navy,clr_neon,clr_neutral,clr_noir,clr_olive,clr_orange,clr_pastel,clr_pink,clr_printed,clr_purple,clr_red,clr_rose,clr_striped,clr_tie_dye,clr_white,clr_yellow,g_all,g_men,g_women,gift_all
0,0.005132,0.184792,301,2,1361,0.184792,0.005132,0.009003,0.0,0.000185,0.0,0.002319,0.003063,0.005865,0.002215,0.006419,0.0,0.002824,0.004113,0.0,0.003263,0.0,0.004092,0.001044,0.002562,0.004366,0.001993,0.0,0.000965,0.001329,0.00034,0.0,0.001938,0.0,0.00015,0.002136,0.0,0.000398,0.000984,0.0,0.0,0.002449,0.002769,0.001858,0.0,0.000719,0.001789,0.002718,0.0,0.002204,0.000164,0.000117,0.003102,0.0,0.001957,0.001574,0.004153,0.001584,0.0,0.003659,0.0,0.005062,0.000332,0.001988,0.0,0.001201,0.0,0.000431,0.001749,0.001139,0.001433,0.0,0.000906,0.001702,0.0,0.0,0.000722,0.000544,0.002092,0.000674,0.000717,0.000208,0.003513,0.0,0.0,0.000692,0.000916,0.001971,0.002456,0.0,0.001234,8.3e-05,0.001809,0.002931,0.0,0.0,0.0,0.0,0.002877,0.001612,0.0,0.002658,0.005568,0.000586,0.0,0.002769,0.0,0.0,0.001661,0.003322,0.003322,0.000204,0.0,0.00206,0.000687,0.000475,0.0,0.003029,0.0,0.0,0.0,0.001224,0.0,0.0,0.003322,0.0,0.000778,0.000863,0.0,0.0,0.000664,0.003571,0.003654,0.003702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004906,0.002907,0.0,0.001107,0.004413,0.000383,0.002578,0.002311,0.011785,0.0,0.005081,0.001329,0.0,0.0,0.0,0.003748,0.000997,0.001011,0.0,0.004061,0.001208,0.005952,0.0,0.0,0.001329,0.0,0.002889,0.002953,0.0,0.0,0.0,0.002872,0.002215,0.001513,0.0,0.0,0.000699,0.0,0.003737,0.0,0.0,0.0,0.004839,0.001246,0.000708,0.000356,0.0,0.006088,0.002473,0.000807,0.0,0.004319,0.0023,0.00026,0.0,0.001107,0.00345,0.005889,0.006233,0.001846,0.00229,0.002885,0.0,0.001107,0.0,0.003555,0.001049,0.002295,0.004886,0.007799,2.1e-05
1,0.005612,0.844404,496,2,1361,0.844404,0.005612,0.045245,0.0,0.002016,0.001008,0.008711,0.005891,0.033615,0.003696,0.021325,0.0,0.003175,0.013393,0.002547,0.022686,0.0,0.016049,0.004493,0.011965,0.022455,0.006824,0.001008,0.002732,0.0,0.003016,0.0,0.007829,0.0,0.003179,0.007632,0.007709,0.002568,0.00631,0.0,0.0,0.00586,0.002688,0.00577,0.002016,0.007429,0.012019,0.005158,0.0,0.006727,0.001767,0.000637,0.016156,0.0,0.005506,0.008913,0.007011,0.00424,0.002688,0.010094,0.0,0.004032,0.004637,0.008996,0.0,0.006146,0.0,0.002409,0.011434,0.005357,0.008578,0.001008,0.007698,0.007155,0.0,0.000715,0.001928,0.005059,0.009857,0.008557,0.004235,0.005261,0.007949,0.0,0.002213,0.001848,0.00438,0.004374,0.009447,0.0,0.003571,0.003334,0.023996,0.012215,0.01145,0.002016,0.0,0.0,0.013672,0.003321,0.002016,0.018207,0.024677,0.007946,0.0,0.00308,0.0,0.003024,0.003146,0.0,0.0,0.00506,0.0,0.005282,0.007508,0.003024,0.002016,0.03967,0.0,0.003289,0.003156,0.008595,0.002016,0.0,0.0,0.0,0.011233,0.009712,0.0,0.0,0.00121,0.024362,0.020927,0.005818,0.0,0.0,0.0,0.005532,0.002016,0.002016,0.0,0.0,0.002016,0.016463,0.008443,0.0,0.002016,0.0133,0.002055,0.006326,0.007539,0.024385,0.0,0.007432,0.00504,0.0,0.0,0.0,0.013286,0.008468,0.003857,0.002199,0.002464,0.006965,0.013021,0.0,0.002016,0.003831,0.0,0.007276,0.012377,0.0,0.0,0.001008,0.017951,0.002688,0.005454,0.001008,0.0,0.004138,0.0,0.020731,0.005003,0.000278,0.0,0.015215,0.01346,0.012031,0.002952,0.002661,0.023308,0.016144,0.008517,0.004032,0.00494,0.007712,0.015042,0.0,0.007467,0.005402,0.007942,0.0202,0.003488,0.008477,0.007269,0.0,0.0,0.001283,0.01654,0.001804,0.017644,0.018119,0.034965,0.002616
2,0.009321,0.763277,1,2,1361,0.763277,0.009321,0.988946,0.0,0.0,0.0,1.0,0.375,0.979499,0.0,0.245327,0.0,1.0,0.690476,0.0,0.106195,0.0,0.054614,0.0,0.0,0.243863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198198,0.0,0.0,0.615385,0.0,0.0,0.0,0.059322,0.0,0.276316,0.0,0.044586,0.0,0.818182,0.0,0.0,0.0,0.0,0.933775,0.0,0.043636,0.0,0.0,0.028037,0.0,0.040541,0.0,0.571429,0.0,0.166667,0.0,0.024096,0.0,0.051948,0.092105,0.428571,0.0,0.0,0.0,0.146341,0.0,0.0,0.086957,0.072727,0.185185,0.26087,0.007194,0.0,0.517241,0.0,0.0,0.0,0.0,0.0,0.401338,0.0,0.0,0.046429,0.294643,0.0,0.207547,0.0,0.0,0.0,0.428571,0.0,0.0,0.353846,0.188,0.0,0.0,0.0,0.0,0.0,0.068966,0.0,0.0,0.02507,0.0,0.04,0.0,0.0,0.0,0.411765,0.0,1.0,0.0,0.157895,0.0,0.0,0.0,0.0,0.12,0.028846,0.0,0.0,0.2,0.008333,0.4,0.228571,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.430464,0.0,0.0,0.0,0.293532,0.051282,0.103448,0.0,0.063158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26087,0.0,1.0,0.0,0.416667,0.0,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.593716,0.0,0.330357,0.0,0.0,0.0,0.0,0.592775,0.0,1.0,0.0,0.141141,0.162037,0.0,0.0,0.16,0.300578,0.075188,0.028037,0.0,0.0,0.244755,0.591304,0.0,0.0,0.371795,0.060606,0.161905,0.206349,0.022727,0.0,0.0,0.0,0.0,1.0,0.0,0.392055,0.007673,0.909445,0.0
3,0.006473,0.965982,10,2,1361,0.965982,0.006473,0.408844,0.0,0.0,0.0,0.00566,0.009375,0.291686,0.0,0.156075,0.0,0.005,0.007143,0.021053,0.168584,0.0,0.221845,0.0,0.014379,0.26743,0.035385,0.0,0.004301,0.0,0.0,0.0,0.046667,0.0,0.165766,0.0,0.0,0.048718,0.0,0.0,0.0,0.00339,0.083333,0.098684,0.0,0.032166,0.0,0.085714,0.0,0.091837,0.0,0.010526,0.223179,0.0,0.087636,0.131579,0.0,0.014019,0.0,0.012162,0.0,0.004762,0.01,0.039394,0.0,0.066265,0.0,0.058442,0.252632,0.06,0.007843,0.0,0.0,0.046341,0.0,0.012903,0.004348,0.129091,0.037037,0.081366,0.02446,0.01875,0.08046,0.0,0.005747,0.125,0.006897,0.10678,0.050502,0.0,0.0,0.021429,0.171428,0.135294,0.109434,0.0,0.0,0.0,0.062946,0.042647,0.0,0.153846,0.1476,0.2,0.0,0.002778,0.0,0.0,0.1,0.0,0.0,0.028134,0.0,0.04,0.062069,0.0,0.0,0.029412,0.0,0.0,0.021739,0.042105,0.0,0.0,0.0,0.0,0.045714,0.121154,0.0,0.0,0.02,0.263333,0.066,0.014286,0.0,0.0,0.1,0.0264,0.0,0.0,0.0,0.0,0.0,0.097351,0.0,0.0,0.0,0.09005,0.117949,0.010345,0.091304,0.041053,0.0,0.0,0.0,0.0,0.0,0.0,0.029487,0.066667,0.004348,0.0,0.0,0.1,0.091667,0.0,0.0,0.0,0.0,0.03913,0.011111,0.0,0.0,0.0,0.243987,0.0,0.072991,0.0,0.0,0.0,0.0,0.10936,0.040741,0.0,0.0,0.178378,0.101852,0.113115,0.0,0.004,0.210404,0.296992,0.081308,0.0,0.0,0.028671,0.35913,0.0,0.011111,0.064103,0.115152,0.162857,0.022222,0.079546,0.002632,0.0,0.0,0.0,0.1,0.063158,0.188428,0.024808,0.350925,0.07433
4,0.005353,0.566301,511,2,1361,0.566301,0.005353,0.015918,0.000783,0.000761,0.002283,0.003102,0.002752,0.011294,0.000326,0.008221,0.001957,0.001957,0.004287,0.000309,0.008953,0.0,0.006328,0.000839,0.00417,0.00883,0.001897,0.0,0.002041,0.0,0.001079,0.0,0.00274,0.0,0.001287,0.000769,0.001151,0.001288,0.003153,0.0,0.0,0.002952,0.000326,0.003244,0.0,0.001739,0.002409,0.001271,0.0,0.002636,0.001377,0.000309,0.005741,0.0,0.001857,0.001957,0.003469,0.001335,0.0,0.002803,0.0,0.001211,0.001957,0.00467,0.0,0.003372,0.0,0.00089,0.003631,0.004249,0.002993,0.0,0.00298,0.00241,0.0,0.000316,0.00017,0.002135,0.003262,0.00203,0.001732,0.00107,0.002767,0.001957,0.0009,0.002528,0.002969,0.002023,0.002657,0.0,0.000727,0.001237,0.008981,0.001496,0.001809,0.0,0.0,0.0,0.005617,0.001266,0.0,0.004426,0.010646,0.002763,0.0,0.00087,0.0,0.000734,0.002159,0.0,0.0,0.002022,0.0,0.002857,0.001485,0.0,0.0,0.008749,0.001957,0.0,0.002382,0.003296,0.0,0.0,0.0,0.000391,0.003489,0.005005,0.000783,0.0,0.0,0.008839,0.004462,0.0052,0.0,0.0,0.0,0.001362,0.0,0.0,0.0,0.0,0.0,0.007296,0.002324,0.0,0.0,0.005034,0.00153,0.0028,0.001872,0.011515,0.0,0.002878,0.001526,0.0,0.0,0.003914,0.006297,0.004305,0.001106,0.000178,0.002174,0.001957,0.006034,0.0,0.0,0.0,0.0,0.002382,0.00337,0.0,0.0,0.0,0.00505,0.000652,0.002669,0.001957,0.0,0.000309,0.0,0.007147,0.000507,0.000202,0.0,0.007164,0.004639,0.002085,0.001468,0.003992,0.00914,0.007946,0.001408,0.0,0.004207,0.002792,0.004033,0.0,0.001232,0.001179,0.005545,0.006505,0.002392,0.003365,0.002214,0.0,0.0,0.0,0.005597,0.0,0.004495,0.008078,0.013117,0.000845
5,0.005609,0.965932,1,2,1361,0.965932,0.005609,0.554422,0.0,0.0,0.0,0.132075,0.0625,0.246014,0.0,0.359813,0.0,0.0,1.0,0.0,0.039823,0.0,0.416196,0.0,0.0,0.590835,0.192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190789,0.0,0.200637,0.0,0.0,0.0,0.22449,0.0,0.0,0.019868,0.0,0.021818,0.0,0.0,0.0,0.0,0.135135,0.0,0.0,0.0,0.0,0.0,0.180723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478,0.0,0.0,0.010352,0.007194,0.0,0.206897,0.0,0.0,0.0,0.0,0.0,0.157191,0.0,0.0,0.085714,0.017857,0.0,0.0,0.0,0.0,0.0,0.013393,0.029412,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.060345,0.0,0.0,0.069638,0.0,0.0,0.0,0.0,0.0,0.176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017143,0.0,0.0,0.0,0.0,0.591667,0.3,0.0,0.0,0.0,0.0,0.288,0.0,0.0,0.0,0.0,0.0,0.039735,0.0,0.0,0.0,0.0199,0.0,0.0,0.0,0.631579,0.0,0.686275,0.0,0.0,0.0,0.0,0.064103,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089924,0.0,0.3125,0.0,0.0,0.0,0.0,0.280788,0.0,0.0,0.0,0.159159,0.453704,0.147541,0.0,0.72,0.115607,0.037594,0.0,0.0,1.0,0.034965,0.182609,0.0,0.0,0.0,0.030303,0.314286,0.0,0.704545,0.0,0.0,0.0,0.0,0.133758,0.0,0.086356,0.007673,0.582278,0.0
6,0.005222,0.78745,2,2,1361,0.78745,0.005222,0.885204,0.0,0.0,0.0,0.0,0.570312,0.8377,0.0,0.380841,0.0,0.05,0.023809,0.0,0.269911,0.0,0.078154,0.042857,0.019608,0.256956,0.41923,0.0,0.0,0.0,0.007874,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.037038,0.0,0.0,0.038136,0.0,0.026316,0.0,0.627388,0.057692,0.045454,0.0,0.0,0.006173,0.0,0.370861,0.0,0.145454,0.0,0.136364,0.014019,0.0,0.152027,0.0,0.02381,0.05,0.007576,0.0,0.0,0.0,0.27922,0.092106,0.342857,0.22549,0.0,0.0,0.054878,0.0,0.0,0.0,0.190909,0.0,0.18116,0.010791,0.0,0.08046,0.0,0.0,0.0,0.094827,0.0,0.381271,0.0,0.0,0.146429,0.388393,0.058824,0.0,0.0,0.0,0.0,0.267857,0.07353,0.0,0.169231,0.154,0.0,0.0,0.055556,0.0,0.0,0.198276,0.0,0.0,0.597493,0.0,0.0,0.068966,0.0,0.0,0.058824,0.0,0.0,0.0,0.131579,0.0,0.0,0.0,0.0,0.477143,0.033654,0.0,0.0,0.1,0.220834,0.77,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.307947,0.0,0.0,0.0,0.29602,0.0,0.0,0.304348,0.305263,0.0,0.117647,0.0,0.0,0.0,0.0,0.044872,0.216666,0.0,0.0,0.0,0.227272,0.21875,0.0,0.0,0.0,0.0,0.021739,0.0,0.0,0.0,0.025,0.366197,0.0,0.03683,0.0,0.0,0.0,0.0,0.256158,0.0,0.0,0.0,0.33033,0.164352,0.680328,0.0,0.0,0.433526,0.364662,0.088785,0.0,0.0,0.143356,0.239131,0.0,0.0,0.044872,0.666666,0.704762,0.174603,0.030304,0.144737,0.0,0.0,0.0,0.321656,0.0,0.177029,0.117647,0.869036,0.287995
7,0.005804,0.891547,37,2,1361,0.891547,0.005804,0.28098,0.0,0.001502,0.009009,0.012239,0.064611,0.174691,0.004505,0.157047,0.0,0.019595,0.030245,0.002845,0.227936,0.0,0.097674,0.026255,0.02632,0.123811,0.033472,0.0,0.007265,0.0,0.01894,0.0,0.084234,0.0,0.019479,0.050193,0.0,0.008778,0.03954,0.0,0.0,0.01443,0.022523,0.040007,0.0,0.051041,0.113306,0.02106,0.0,0.118864,0.007674,0.032243,0.059066,0.0,0.069975,0.062589,0.051597,0.02248,0.001802,0.061724,0.0,0.063063,0.008108,0.097256,0.0,0.091501,0.0,0.011232,0.095306,0.107336,0.069952,0.0,0.05344,0.056361,0.0,0.002616,0.030552,0.042752,0.034034,0.042807,0.033832,0.017736,0.024542,0.0,0.010096,0.032658,0.035881,0.025653,0.047003,0.0,0.025483,0.016023,0.187741,0.076312,0.046915,0.0,0.0,0.022113,0.059725,0.054452,0.0,0.080665,0.131459,0.030207,0.0,0.006006,0.0,0.02027,0.033085,0.0,0.0,0.031243,0.0,0.026486,0.016775,0.03861,0.0,0.1407,0.0,0.004267,0.023502,0.039829,0.0,0.0,0.0,0.0,0.056679,0.040021,0.0,0.0,0.021622,0.121622,0.084865,0.047104,0.0,0.0,0.0,0.054054,0.0,0.0,0.0,0.0,0.0,0.091641,0.001689,0.0,0.0,0.097082,0.015939,0.025629,0.05993,0.16643,0.0,0.032326,0.065405,0.0,0.0,0.0,0.162855,0.010811,0.0047,0.0,0.028529,0.04914,0.025338,0.027027,0.0,0.0,0.0,0.019976,0.027027,0.0,0.0,0.001351,0.118649,0.0,0.054235,0.0,0.0,0.008535,0.0,0.125194,0.003003,0.007456,0.0,0.151449,0.064314,0.060257,0.030888,0.015135,0.153882,0.106686,0.034605,0.005405,0.002703,0.080514,0.06416,0.0,0.034034,0.040541,0.070434,0.128958,0.028314,0.098894,0.086771,0.0,0.0,0.012285,0.108108,0.007112,0.080194,0.096841,0.237717,0.012392
8,0.009174,0.98998,1,2,1361,0.98998,0.009174,0.622449,0.0,0.0,0.0,0.075472,0.15625,0.667426,0.0,0.114486,0.0,0.05,0.142857,0.0,0.327434,0.0,0.003766,0.0,0.627451,0.02455,0.0,0.0,0.043011,0.0,1.0,0.0,0.0,0.0,0.0,0.321429,0.0,0.0,0.611111,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.160494,0.0,0.02649,0.0,0.083636,0.0,0.113636,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.171429,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.004141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.017857,0.0,0.0,0.030769,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044568,0.0,0.0,0.0,0.0,0.0,0.147059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005714,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019868,0.0,0.0,0.0,0.00995,0.051282,0.0,0.0,0.031579,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.0,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72156,0.0,0.004464,0.0,0.0,0.0,0.0,0.167488,0.0,0.0,0.0,0.222222,0.273148,0.508197,0.0,0.0,0.0,0.819549,0.0,0.0,0.0,0.0,0.104348,0.0,0.0,0.0,0.0,0.0,0.15873,0.0,0.815789,0.0,0.0,0.0,0.267516,0.0,0.702936,0.808184,0.009737,0.0
9,0.003556,0.968437,1,2,1361,0.968437,0.003556,0.141156,0.4,0.0,0.0,0.132075,0.0,0.029613,0.0,0.151869,0.0,0.0,0.0,0.0,0.048673,0.0,0.082863,0.0,0.0,0.099836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033113,0.0,0.076364,0.0,0.0,0.0,0.466667,0.0,0.0,0.0,0.0,0.030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127273,0.0,0.0,0.007194,0.0,0.0,0.0,0.0,0.0,0.0,0.084746,0.090301,0.0,0.0,0.0,0.017857,0.117647,0.0,0.0,0.0,0.0,0.004464,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.285714,0.0,0.034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045714,0.0,0.0,1.0,0.0,0.491667,0.26,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049751,0.0,0.086207,0.0,0.178947,0.0,0.372549,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.0,0.0,0.0,0.019704,0.0,0.0,0.0,0.054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125874,0.0,0.0,0.0,0.0,0.030303,0.066667,0.0,0.151515,0.0,1.0,0.0,0.0,0.019108,0.0,0.013817,0.0,0.152872,0.0
0,0.013538,0.966767,9,3,267,0.966767,0.013538,0.277967,0.0,0.0,0.0,0.039832,0.039931,0.230574,0.0,0.097352,0.0,0.0,0.0,0.0,0.130777,0.0,0.089768,0.006349,0.066812,0.12675,0.044445,0.0,0.002389,0.0,0.011374,0.0,0.025926,0.0,0.0,0.083333,0.0,0.003799,0.088477,0.0,0.0,0.042373,0.0,0.079678,0.0,0.042109,0.0,0.020202,0.0,0.011338,0.021948,0.0,0.11847,0.0,0.041616,0.05848,0.090909,0.025961,0.0,0.069069,0.0,0.015873,0.022222,0.053872,0.0,0.044177,0.0,0.001443,0.073099,0.04127,0.050109,0.0,0.007576,0.023035,0.0,0.0,0.0,0.012121,0.045267,0.074074,0.000799,0.006944,0.088123,0.0,0.00894,0.0,0.011494,0.015066,0.05091,0.0,0.006349,0.051191,0.183532,0.006536,0.046122,0.0,0.0,0.0,0.061508,0.013072,0.0,0.176068,0.167556,0.013072,0.0,0.024691,0.0,0.0,0.012452,0.0,0.0,0.037759,0.0,0.042222,0.015326,0.0,0.0,0.235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089524,0.057692,0.0,0.0,0.0,0.088889,0.033333,0.025397,0.0,0.0,0.0,0.066667,0.0,0.0,0.0,0.0,0.0,0.108904,0.159722,0.0,0.0,0.04367,0.002137,0.015326,0.014493,0.129825,0.0,0.0,0.042222,0.0,0.0,0.0,0.025641,0.022222,0.169082,0.0,0.0,0.030303,0.145833,0.0,0.0,0.0,0.0,0.033816,0.006173,0.111111,0.0,0.0,0.096304,0.0,0.093998,0.0,0.0,0.0,0.0,0.1237,0.0,0.0,0.0,0.072072,0.031379,0.08561,0.0,0.0,0.204881,0.125313,0.044652,0.0,0.0,0.063714,0.074396,0.0,0.032922,0.005698,0.040404,0.142857,0.001764,0.056397,0.090643,0.0,0.0,0.0,0.103326,0.040936,0.109768,0.077579,0.22655,0.051937
1,0.012663,0.898505,12,3,267,0.898505,0.012663,0.119969,0.0,0.0,0.0,0.009434,0.013021,0.115414,0.0,0.032126,0.0,0.0,0.0,0.0,0.042404,0.0,0.029661,0.002381,0.129085,0.0506,0.021795,0.0,0.020609,0.0,0.006562,0.0,0.040278,0.0,0.009009,0.0,0.112745,0.010684,0.027778,0.0,0.0,0.010593,0.0,0.006579,0.0,0.005839,0.00641,0.005411,0.0,0.004252,0.006173,0.0,0.043046,0.0,0.01303,0.0,0.106061,0.015576,0.0,0.001126,0.0,0.003968,0.0,0.019571,0.0,0.009036,0.0,0.004329,0.030702,0.0,0.013072,0.0,0.007576,0.020325,0.0,0.0,0.003623,0.013636,0.16358,0.02519,0.006595,0.03125,0.007663,0.0,0.008621,0.003472,0.04023,0.0,0.00641,0.0,0.02619,0.005655,0.031994,0.093137,0.007862,0.0,0.0,0.0,0.029018,0.0,0.0,0.058974,0.07,0.0,0.0,0.030093,0.0,0.010417,0.003592,0.0,0.0,0.007428,0.0,0.003333,0.002874,0.0,0.0,0.203431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02381,0.020032,0.0,0.0,0.0,0.04375,0.04,0.02381,0.0,0.0,0.0,0.044667,0.0,0.0,0.0,0.0,0.0,0.080574,0.010417,0.0,0.0,0.015755,0.009615,0.017241,0.01087,0.007895,0.0,0.001634,0.03,0.0,0.0,0.0,0.001068,0.002778,0.01087,0.0,0.0,0.0,0.020833,0.0,0.0,0.041667,0.0,0.003623,0.074074,0.0,0.0,0.020833,0.04749,0.0,0.030134,0.0,0.0,0.0,0.0,0.057882,0.024691,0.0,0.0,0.048799,0.048611,0.023224,0.0,0.0,0.031792,0.035088,0.011682,0.0,0.0,0.020396,0.00942,0.0,0.009259,0.0,0.007576,0.028571,0.002646,0.039141,0.024123,0.0,0.0,0.0,0.026539,0.074561,0.048935,0.108482,0.069377,0.015751
